序号,商品店铺ID,商品ID,商品SPU
48,8050155684136,23339,ON0813
216,8050139496744,43097,ON2472
217,8050162729256,43350,ON2477
220,8048408068392,43405,ON2488
233,8050162925864,43693,ON2464
310,8060680667432,50229,BL2533
311,8060675653928,50313,ON2603
317,8048413868328,51627,ON2953
452,8048443916584,57556,ON3149
501,8062116200744,59382,ON3594
510,8115372359976,59776,ON2787
526,8058183483688,60482,BL0021
535,8062200480040,60836,BL0011
555,8094019158312,61946,BL0048
579,8096882164008,62093,BL0060
587,8098409677096,62349,BL0010
590,8098428420392,62363,BL0030
621,8104197325096,62827,BL0074
623,8104231108904,62832,BL0063
680,8136716189992,63475,ON3456
707,8124925706536,63636,BL0081
713,8136711078184,63674,ON2556
729,8136703508776,63883,ON2713
732,8136731263272,63937,ON3913
833,8186202521896,68892,BL0172
951,8218811892008,71535,BL0242
963,8218834534696,71583,BL0246
974,8220315025704,71893,BL0256
982,8220582347048,71964,BL0265
1033,8232499773736,73011,BL0112
1071,8238874296616,73719,BL0294
1075,8238885437736,73727,BL0297
1172,8275607978280,76176,BL0368
1231,8286985027880,77012,BF0004
1320,8315875655976,78741,BL0457
1336,8317031776552,78823,BL0473
1474,8370464227624,82425,BL0589
1479,8383536988456,83011,BL0570
1526,8392460861736,83960,BL0604
1979,8732456780072,124407,BL0988
2083,8789560099112,134845,BL0870
2194,8824432132392,140655,BL1154
2232,8846577959208,144781,BL1215
2325,8943376695592,182330,BL1266
2641,9442675360040,334458,BL1455
2692,9480401125672,387924,BL1505
2742,9508434837800,428194,BL1544
