序号,商品店铺ID,商品ID,商品SPU
148,8762377961708,460435,BS11639
373,8755147997420,446081,BS11285
439,8750459846892,448881,BS11339
918,8735220465900,429767,BS10514
1022,8730249167084,421254,BS10891
1211,8721652023532,415589,BS10763
1230,8720407068908,413619,BS10744
1232,8720395010284,413559,BS10742
1305,8717365182700,411777,BS10571
1306,8717363216620,412098,BS10572
1314,8715945869548,410330,BS10570
1355,8714511941868,408137,BS10568
1418,8712666382572,406875,BS10600
1420,8712649408748,406867,BS10599
1427,8712532885740,406811,BS10525
1441,8712212938988,406752,BS10584
1472,8709764481260,403692,BS10487
1485,8709727289580,403675,BS10433
1486,8709716902124,403673,BS10432
1513,8708234117356,402996,BS10462
1514,8708234019052,402986,BS10461
1597,8705908310252,394460,BS10360
1608,8705861255404,391609,BS10232
1713,8702348525804,392886,BS10225
1762,8701582934252,392302,BS10243
1762,8701582934252,392302,BS10243
1857,8696821645548,381371,BS10132
1870,8696347558124,381169,BS10125
1895,8696195481836,380971,BS10127
1997,8692471890156,378450,BS9929
2043,8690836898028,377745,BS10010
2365,8673204306156,343171,BS9687
2370,8673180516588,343164,BS9612
2393,8673055015148,342956,BS9688
2401,8673007075564,342859,BS9687
2413,8672971751660,342201,BS9639
2574,8661156888812,333645,BS9525
2610,8660657144044,333131,BS9444
2630,8659996082412,332862,BS9329
2631,8659993034988,332839,BS9328
2633,8659990577388,332817,BS9327
2634,8659986546924,332801,BS9326
2635,8659983106284,332785,BS9325
2637,8659974881516,332731,BS9324
2638,8659970752748,332718,BS9323
2640,8659965182188,332699,BS9322
2642,8659950993644,332672,BS9321
2644,8659948044524,332609,BS9320
2651,8659907739884,332497,BS9319
2654,8659899449580,332484,BS9318
2705,8655867183340,329332,BS9383
2724,8652675875052,330715,BS9390
2838,8642772959468,324348,BS9255
2918,8627823018220,320056,BS9184
2967,8626007474412,318674,BS9109
2968,8625746903276,318673,BS9179
2969,8625742282988,318672,BS9178
2970,8625726488812,318671,BS9177
2972,8625703878892,318669,BS9175
2975,8625072079084,318665,BS9172
2976,8625055957228,318656,BS9171
2984,8624904831212,318265,BS9169
2985,8624858398956,318188,BS9168
2986,8624841425132,318119,BS9167
2987,8624760520940,318065,BS9166
2990,8624712876268,318029,BS9165
2994,8624674865388,317993,BS9164
3012,8624088252652,317784,BS9142
3259,8610888450284,302012,BS8923
3387,8590681145580,288347,BS8771
3389,8590644084972,288341,BS8769
3399,8588969836780,284376,BS8768
3400,8588957253868,284371,BS8767
3403,8588824051948,284305,BS8764
3420,8587860574444,284035,BS8761
3425,8587805360364,284008,BS8755
3524,8576674431212,277913,BS8683
3531,8575706431724,277884,BS8570
3601,8567168499948,270621,BS8609
3648,8563208749292,270170,BS8534
3649,8563180241132,270169,BS8535
3650,8563134071020,270168,BS8536
3651,8563079250156,270167,BS8537
3710,8556135842028,268959,BS8490
3711,8556135678188,268975,BS8489
3780,8539092680940,267029,BS8449
3792,8537933381868,266775,BS8428
3793,8537929810156,266774,BS8427
3796,8537582764268,266771,BS8424
3797,8537564381420,266770,BS8423
3799,8537520963820,266768,BS8421
3800,8537519227116,266766,BS8418
3801,8537423216876,266760,BS8417
3802,8537303744748,266610,BS8416
3803,8537292669164,266589,BS8415
3806,8537245909228,266558,BS8414
3973,8512425263340,263709,BS8273
4038,8498692489452,262431,BS8198
4043,8498517278956,262363,BS8192
4044,8498498666732,262356,BS8191
4061,8496433004780,262173,BS8213
4063,8496366911724,262134,BS8179
4153,8480257573100,247332,BS8082
4180,8474450755820,239129,BS8075
4186,8473883345132,239040,BS8072
4188,8473742967020,238885,BS8073
4289,8448657588460,229286,BS7995
4360,8435190268140,227638,BS7905
4434,8409881706732,226316,BS7794
4548,8383791005932,224674,BS7790
4601,8378446086380,224051,BS7759
4663,8348183363820,223151,BS7706
4664,8348166389996,223137,BS7705
4672,8347803189484,223064,BS7702
4675,8346262405356,223047,BS7700
4732,8326040191212,222389,BS7561
4801,8303547613420,211779,BS6123
4978,8252098183404,184220,BS7380
5240,8146297782508,152072,BS7111
5291,8139455987948,151257,BS7332
5629,8118615310572,140688,BS6206
5757,8101580931308,137797,BS6763
5759,8101567987948,137787,BS6764
5939,8085919695084,128492,BS6698
5982,8077327696108,127842,BS6603
6135,8059873034476,125558,BS6561
6143,8059752481004,125499,BS6236
6157,8056772002028,125469,BS6620
6236,8040727576812,124035,BS6486
6237,8040709062892,124034,BS6471
6503,8014620819692,118011,BS6365
6537,8013038420204,117481,BS6299
6572,8012255133932,116808,BS6275
6634,8010828579052,116201,BS6236
6701,8004862247148,115030,BS6175
6870,7966611505388,108706,BS6047
6944,7962902331628,88720,BS4019
7021,7960708612332,88050,BS5880
7043,7960351932652,87737,BS5832
7084,7958456565996,87235,BS5840
7085,7958444376300,87234,BS5837
7508,7942259507436,82190,BS5429
7604,7939808723180,81430,BS5422
7608,7939578036460,81356,BS5429
7651,7938843771116,80777,BS5531
7684,7937027801324,80513,BS5480
7735,7936026050796,80014,BS5374
7784,7934511218924,79502,BS5349
7938,7930283196652,77832,BS5285
7940,7930272874732,77806,BS5283
8017,7927234593004,76871,BS5096
8062,7926186311916,76508,BS1231
8535,7902363681004,70022,BS4798
8925,7860841283820,65044,BS1336
9785,7883613372652,63596,BS4410
9791,7883313283308,63575,BS0037
9812,7881645129964,63445,BS4336
10004,7475825869036,61722,BS0607
10070,7863878418668,61630,BS4034
10082,7863502373100,61604,BS4019
10353,7848568094956,59686,BS3711
10740,7804249080044,56097,BS3515
10775,7802507985132,55162,BS3408
11101,7775039914220,52576,BS3177
11103,7774908907756,52558,BS3175
11620,7719880458476,44490,BS2690
11624,7719793164524,44476,BS2695
11718,7710312268012,43320,BS2585
11836,7669200027884,42027,BS2249
11892,7689875947756,40597,BS2400
12489,7636823081196,36752,BS1882
12595,7628035555564,36228,BS1782
12615,7626011017452,36145,BS0304
12741,7594269245676,32817,BS1646
12801,7584372457708,32511,BS1575
12828,7581223813356,32346,BS1561
12855,7576204476652,32133,BS1527
12994,7560638202092,31382,BS1383
13187,7540702281964,30083,BS1197
13200,7539482263788,30044,BS1184
13201,7539455262956,30035,BS1183
13207,7539404734700,30004,BS1177
13211,7539382124780,29983,BS1173
13454,7491671228652,28679,BS0927
13513,7483942830316,28327,BS0852
13516,7483938603244,28288,BS0841
13737,7460845945068,27099,BS0642
13765,7453195370732,26785,BS0592
13781,7453053124844,26768,BS0587
13799,7451978072300,26734,BS0607
13805,7451584364780,26671,BS0597
13806,7448698159340,26543,BS0569
13845,6950541689012,26385,BS0532
13846,6950411731124,26384,BS0530
13858,6941822124212,26021,BS0519
13874,6941777100980,25979,BS0488
13884,6941669425332,25940,BS0515
13894,6940289171636,25806,BS0467
13906,6937208520884,25662,BS0468
13908,6937198002356,25651,BS0465
13916,6937167462580,25628,BS0459
13988,6929320476852,25075,BS0380
14070,6919833387188,24479,BS0267
14071,6919820083380,24477,BS0266
14132,6890482892980,23571,BS0201
14187,6874237206708,23130,BS0149
14203,6872481235124,23077,BS0134
14204,6872476647604,23076,BS0133
14232,6870661071028,22987,BS0105
14269,6856889401524,22703,BS0084
14302,6843861663924,22359,BS0046
14330,6840869912756,22311,BS0006
