序号,商品店铺ID,商品ID,商品SPU
24,8194405826817,161949,CAWS020039
34,8213732786433,181330,CAWS020095
43,8216191893761,181737,CAWS020108
49,8220230713601,182041,CAWS020117
61,8223193628929,182351,CAWS0201170
63,8223195726081,182356,CAWS0201290
190,8327790985473,222972,CAWS11109
205,8338359353601,223521,CAWS11115
207,8338581192961,223548,CAWS11117
213,8340226670849,223723,CAWS11115
229,8363023532289,224220,CAWS020039
233,8363492737281,224276,CAWS0201170
244,8367618392321,224377,CAWS11143
265,8398563705089,226891,CAWS0006
266,8398568194305,226903,CAWS0007
310,8409885835521,227445,CAWS0044
318,8410110755073,227594,CAWS0046
323,8410504102145,227700,CAWS0046
364,8426417225985,230462,CAWS0080
382,8438240280833,236785,CAWS0087
511,8485853397249,263874,CAWS0154
521,8492202393857,264696,CAWS0183
529,8492748243201,264919,CAWS019402
530,8492796969217,264950,CAWS0183
538,8492841533697,265081,CAWS019402
585,8502239166721,267351,CAWS0221
620,8506918306049,268197,CAWS0046
630,8506936623361,268212,CAWS0183
683,8517646745857,270022,CAWS0276
699,8519590150401,270262,CAWS0276
782,8528524837121,278193,CAWS0356
784,8528535879937,278205,CAWS0358
790,8528567861505,278298,CAWS0356
792,8528569827585,278302,CAWS0358
811,8529754161409,279077,CAWS0377
856,8538624164097,288578,CAWS0402
860,8538686456065,288637,CAWS0407
915,8549407916289,299460,CAWS0450
950,8557095223553,301771,CAWS0403
951,8557094863105,301772,CAWS0402
953,8557093912833,301774,CAWS0400
955,8557092569345,301776,CAWS0398
956,8557091979521,301777,CAWS0397
957,8557091651841,301778,CAWS0396
958,8557091193089,301779,CAWS0395
959,8557090767105,301780,CAWS0394
960,8557111148801,301798,CAWS0414
961,8557110722817,301799,CAWS0413
962,8557109248257,301800,CAWS0410
963,8557108068609,301801,CAWS0408
965,8557110198529,301803,CAWS0412
966,8557109838081,301804,CAWS0411
967,8557108625665,301805,CAWS0409
970,8557112590593,301808,CAWS0416
971,8557114458369,301809,CAWS0420
972,8557113999617,301810,CAWS0419
973,8557113540865,301811,CAWS0418
974,8557113049345,301812,CAWS0417
975,8557111968001,301813,CAWS0415
977,8557122978049,301823,CAWS0424
978,8557122224385,301824,CAWS0423
1072,8564915273985,315016,CAWS0512
1128,8572303311105,317631,CAWS0588
1222,8581734203649,322831,CAWS0686
1280,8584496611585,324343,CAWS0712
1417,8596581581057,332524,CAWS0825
1478,8603183677697,341012,CAWS0885
1574,8611506192641,347324,CAWS0953
1575,8611512254721,347330,CAWS0954
1621,8611931259137,347783,CAWS0877
1636,8618908975361,362554,CAWS0975
1637,8618946625793,362561,CAWS0976
1638,8618953867521,362570,CAWS0977
1642,8619122819329,362795,CAWS1031
1691,8621465567489,376999,CAWS0942
1692,8621475889409,377011,CAWS0942
1700,8622928462081,377503,CAWS1006
1851,8629980430593,384222,CAWS1156
1961,8638690328833,401664,CAWS1268
2059,8644982702337,406818,CAWS1395
2075,8646351487233,407423,CAWS11117
2288,8657125245185,436998,CAWS1574
2383,8666761429249,446602,CAWS1462
2385,8666799571201,446618,CAWS1462
