序号,商品店铺ID,商品ID,商品SPU
52,7945289957565,471016,EC4345
179,7904752533693,385098,EC6837
404,7678038507709,221893,EC6617
412,7675367129277,221662,EC6605
440,7667415646397,187310,EC6591
489,7650078720189,186032,EC5931
516,7643908735165,184603,EC6513
533,7640735350973,184492,EC6547
552,7638477209789,183551,EC6485
559,7637289042109,183224,EC6480
564,7634380619965,183161,EC6475
572,7632841670845,183065,EC6495
595,7624261402813,180805,EC6444
603,7620525031613,162278,EC6450
607,7620464705725,162155,EC6439
689,7607517380797,154604,EC6366
699,7602513739965,154830,EC5384
718,7602504368317,154804,EC2373
903,7579638759613,141522,EC6225
908,7579617788093,141465,EC6219
939,7575043342525,140305,EC6171
951,7574187081917,140073,EC0869
994,7569219649725,139141,EC6152
996,7568649945277,139036,EC6148
1016,7567537832125,138594,EC6107
1119,7562132586685,136357,EC1357
1174,7559193428157,134854,EC5995
1184,7559156760765,134774,EC5985
1234,7552497811645,128005,EC5930
1250,7550687772861,127318,EC5958
1260,7548333523133,126663,EC5904
1285,7537026498749,125330,EC5831
1425,7512324538557,118917,EC0796
1448,7511512678589,118721,EC4009
1449,7511400153277,118710,EC4008
1450,7510830874813,118691,EC4007
1460,7510577184957,118519,EC5649
1479,7509894627517,117725,EC5642
1703,7502304608445,99274,EC5450
1723,7501597704381,89691,EC5416
1724,7501587153085,89680,EC5415
1725,7501578928317,89674,EC5414
1748,7500900434109,89068,EC5402
1759,7500748685501,88969,EC5431
1760,7500716998845,88868,EC5430
1807,7499783766205,88188,EC5361
1956,7491810328765,83208,EC5219
2021,7490048852157,82268,EC5177
2051,7489162739901,81880,EC5106
2097,7488148570301,80986,EC5116
2138,7485817553085,80101,EC5049
2158,7485197189309,79517,EC1546
2217,7480002642109,77626,EC4989
2264,7476342096061,76667,EC4957
2293,7474793316541,76068,EC3528
2310,7474067341501,75814,EC4909
2331,7473984929981,75391,EC4871
2337,7473110810813,75355,EC4865
2338,7473110253757,75352,EC4864
2380,7471013494973,74320,EC4853
2385,7470742372541,74349,EC1644
2386,7470469972157,74302,EC4848
2404,7467356160189,43663,EC1961
2417,7466878173373,73282,EC4825
2437,7466681139389,73154,EC4805
2473,7465530556605,72329,EC4765
2504,7462958956733,71420,EC4753
2546,7460178952381,70136,EC4715
2569,7459227435197,70070,EC4703
2592,7456369934525,69411,EC4633
2604,7456011452605,69345,EC4651
2605,7456004636861,69338,EC4650
2617,7455698223293,69245,EC1567
2642,7454937186493,68570,EC4625
2646,7454920081597,68557,EC4621
2669,7452854714557,66874,EC4497
2678,7452746383549,67926,EC4584
2702,7452235759805,67185,EC4538
2705,7452234678461,67023,EC4544
2713,7452227731645,67151,EC4533
2730,7450800029885,66979,EC0278
2731,7450777780413,66940,EC4502
2739,7448400855229,66693,EC4495
2740,7448384635069,66589,EC4494
2791,7445310668989,65990,EC4499
2801,7444633485501,65287,EC4461
2814,7443466453181,63925,EC4431
