SPU,Action,ProductID
MK6423,保留,"16067882816878116047042665"""
MK6423,删除,"16067882803918891095892665"""
MK12260,保留,"16067883752754845289282665"""
MK12260,删除,"16067883750384727503042665"""
MK24033,保留,"16067883901844568156312665"""
MK24033,删除,"16067883856161719428142665"""
MK24033,删除,"16067883748983494906762665"""
MK22545,保留,"16067883230356630905502665"""
MK22545,删除,"16067883212473460346742665"""
MK22849,保留,"16067883219980593899042665"""
MK22849,删除,"16067883215117549587252665"""
MK21373,保留,"16067882878576998499922665"""
MK21373,删除,"16067882870349452249332665"""
MK21931,保留,"16067883884169268270822665"""
MK21931,删除,"16067883856924243893072665"""
MK21931,删除,"16067883744407508762922665"""
MK23002,保留,"16067883232140216257642665"""
MK23002,删除,"16067883215906917600672665"""
MK5942,保留,"16067882804505086539832665"""
MK5942,删除,"16067882800571164928462665"""
MK22875,保留,"16067883224521514699882665"""
MK22875,删除,"16067883221479973210302665"""
MK22705,保留,"16067883233232581268112665"""
MK22705,删除,"16067883217326773384882665"""
MK4839,保留,"16067882816489220187902665"""
MK4839,删除,"16067882798091492885552665"""
MK4557,保留,"16067882807168134522662665"""
MK4557,删除,"16067882802987587348922665"""
MK22779,保留,"16067883230958764707122665"""
MK22779,删除,"16067883225925935449762665"""
MK22544,保留,"16067883230196911806852665"""
MK22544,删除,"16067883211678220299952665"""
MK22651,保留,"16067883226549712815122665"""
MK22651,删除,"16067883213706250169002665"""
MK11976,保留,"16067882878571126473282665"""
MK11976,删除,"16067882873447868508012665"""
MK3836,保留,"16067882823587492495842665"""
MK3836,删除,"16067882809027050046912665"""
MK23022,保留,"16067883233895448590342665"""
MK23022,删除,"16067883222742626484782665"""
MK22843,保留,"16067883231736388665862665"""
MK22843,删除,"16067883214474143829332665"""
MK11971,删除,"16067883207397010808622665"""
MK11971,保留,"16067882873218859504132665"""
MK6034,保留,"16067882819896840047262665"""
MK6034,删除,"16067882799894204747492665"""
MK23003,保留,"16067883228745011528722665"""
MK23003,删除,"16067883221998892980972665"""
MK22471,保留,"16067883225573781682962665"""
MK22471,删除,"16067883211766971773732665"""
MK5431,保留,"16067882819331447861892665"""
MK5431,删除,"16067882810211353250392665"""
MK22844,保留,"16067883230967321561922665"""
MK22844,删除,"16067883217541186689792665"""
MK22659,保留,"16067883219465365111512665"""
