序号,商品店铺ID,商品ID,商品SPU
6,9108696498407,480906,OK20192
19,9108577321191,480532,OK40160
83,9095584415975,471378,OK40149
145,9092250075367,469015,OK40151
223,9084900802791,464375,OK9554
284,9079470227687,456882,OK40116
343,9074768675047,449148,OK40083
362,9074292981991,446686,OK9462
493,9064907735271,430233,OK9383
535,9062748291303,421925,OK9355
551,9062305726695,421134,OK20149
576,9060972429543,418898,OK20143
596,9059831152871,417617,OK9317
628,9057972486375,413354,OK30030
633,9057390690535,412989,OK9292
655,9055407210727,406910,OK40035
656,9055405998311,406899,OK40034
671,9054994661607,404112,OK30029
673,9054991646951,404096,OK30022
792,9046429499623,384816,OK9180
801,9044999209191,381157,OK40002
829,9042672189671,380320,OK30004
834,9042111889639,380080,OK9159
897,9035236966631,370962,OK20107
903,9034279190759,363086,OK9096
937,9030976569575,348865,OK9067
972,9022762123495,346405,OK9044
994,9020511944935,342882,OK9026
997,9020506505447,342840,OK9023
1015,9017501253863,341660,OK7982
1016,9017483919591,341651,OK7981
1070,9011357679847,332710,OK7904
1096,9010033492199,332077,OK7960
1240,8996316217575,321159,OK20008
1244,8996281745639,320853,OK7845
1255,8996246847719,320670,IO00562
1308,8986594050279,317158,OK7792
1310,8986575405287,317144,OK7790
1318,8986169245927,316604,OK7782
1330,8982834479335,315029,OK7770
1340,8982716121319,314865,OK7760
1381,8977490968807,302455,OK7719
1442,8969376235751,290497,OK7650
1529,8944435069159,272830,OK7566
1530,8944427991271,272818,OK7565
1531,8944423043303,272804,OK7564
1533,8944411705575,272756,OK7562
1535,8944406266087,272727,OK7560
1563,8935618478311,269451,OK7535
1625,8922988183783,266202,OK7467
1631,8919121658087,265907,OK7461
1632,8919099048167,265870,OK7460
1649,8917331345639,265013,OK7443
1765,8868268245223,237296,OK7327
1824,8849461182695,228933,OK7268
1837,8847467151591,228517,OK7261
1838,8847267234023,228508,OK7260
1842,8844748259559,228246,OK7256
1848,8842932977895,227968,OK7250
1857,8842855514343,227767,OK7241
2010,8784504946919,222095,OK7110
2016,8782042202343,221834,OK7098
2039,8774236340455,209715,OK7080
2041,8774047170791,206803,OK7078
2111,8743077314791,185682,OK7006
2113,8743052247271,185677,OK7004
2143,8735670894823,184453,OK6974
2144,8735656706279,184447,OK6973
2173,8731388772583,183764,OK6944
2201,8719891857639,182638,OK6914
2221,8711735574759,181882,OK6911
2230,8710857359591,181616,OK6882
2281,8695262511335,156586,OK6838
2296,8690234818791,155579,OK8032
2303,8690159550695,155587,OK8034
2392,8620972376295,152345,OK6759
2393,8620962447591,152338,OK6758
2440,8613862211815,151106,OK6695
2497,8605920952551,144755,OK6639
2508,8603547402471,143969,OK6628
2536,8597692416231,142845,OK6600
2558,8596150092007,142183,OK6578
2565,8596039729383,142141,OK6573
2566,8593734271207,141700,OK6570
2585,8591254585575,140690,OK6551
2596,8590908424423,140469,OK6541
2654,8576716669159,138282,OK6486
2671,8573985325287,137869,OK6472
2688,8570067845351,137282,OK6452
2690,8570038092007,137263,OK6450
2702,8568554979559,136936,OK6440
2704,8568406638823,136923,OK6438
2706,8568227791079,136514,OK6435
2737,8560809148647,135277,OK6403
2742,8560279388391,135083,OK6398
2773,8555378180327,128581,OK6366
2811,8542314561767,127185,OK6320
2812,8542311547111,127268,OK6326
2823,8540920807655,126981,OK6319
2848,8531481428199,126224,OK6290
2849,8531477397735,126211,OK6289
2857,8531452166375,126253,OK6292
2870,8527991242983,125743,OK6250
2888,8524535857383,125331,OK6270
2933,8516719214823,124149,OK6214
2953,8513791688935,123636,OK6189
2959,8512239599847,123349,OK6183
2963,8512188383463,123313,OK6179
2964,8512163545319,123291,OK6178
2964,8512163545319,123291,OK6178
2965,8512154697959,123270,OK6177
2981,8510217978087,123075,OK6173
2982,8510213193959,123064,OK6172
2983,8510206116071,123056,OK6171
2987,8510172561639,123006,OK6167
2990,8510128750823,122952,OK6164
2993,8509697687783,122722,OK6156
2997,8509580116199,122751,OK6158
2998,8509516873959,122742,OK6157
2999,8509422502119,122716,OK6155
3000,8509412901095,122713,OK6154
3001,8509393731815,122706,OK6153
3002,8509387768039,122705,OK6152
3009,8507525267687,122210,OK6145
3010,8507523006695,122198,OK6144
3015,8506894516455,122032,OK6139
3020,8506860962023,121950,OK6134
3031,8506215334119,119919,OK6123
3044,8504806441191,119314,OK6111
3048,8504720064743,119200,OK6105
3086,8489820946663,118115,OK6063
3099,8488129069287,117499,OK6065
3102,8488105410791,117442,OK6048
3117,8487455785191,116781,OK6029
3138,8485429969127,116003,OK6008
3139,8485425578215,115999,OK6007
3140,8485419253991,115994,OK6006
3150,8485131682023,115816,OK6003
3195,8477908304103,115113,OK4179
3262,8476423422183,114310,OK4129
3287,8474319782119,113253,OK4135
3291,8474313457895,113229,OK4131
3363,8466291851495,88629,OK4059
3427,8456482914535,85787,OK4004
3459,8452535582951,84650,OK2974
3463,8450517532903,84209,OK3682
3483,8448074023143,83451,OK2953
3490,8447644074215,83293,OK2946
3495,8447254036711,83132,OK2941
3499,8447222644967,83066,OK2937
3523,8444542976231,82227,OK3676
3529,8443801338087,82043,OK3670
3558,8437024850151,80916,OK2890
3563,8434474156263,80732,OK2885
3575,8432427565287,80237,OK2873
3581,8430317732071,80047,OK2865
3583,8430264877287,79970,OK2867
3638,8423460471015,78562,OK2802
3642,8422876348647,78393,OK2778
3657,8419652796647,78022,OK3663
3678,8414552785127,77282,OK2801
3716,8401226858727,75848,OK2724
3725,8397707968743,75597,OK3659
3773,8381600760039,73843,OK3638
3780,8380530950375,73729,OK2691
3783,8380517089511,73716,OK2688
3790,8379947516135,73551,OK2681
3800,8377525338343,73307,OK3626
3811,8374033318119,72939,OK2677
3814,8373971189991,72917,OK2676
3819,8372435583207,72781,OK2668
3821,8372431945959,72777,OK2666
3860,8367901704423,71323,OK2641
3886,8362623729895,70788,OK2487
3936,8355251159271,69534,OK1676
3965,8350547345639,68866,OK2412
3969,8349373333735,68567,OK2402
3974,8348157772007,68412,OK2401
3976,8348066283751,68391,OK2404
3982,8345279758567,68251,OK2396
3983,8345268224231,68237,OK2397
3988,8343927259367,68049,OK2627
3990,8343916642535,68023,OK2625
4016,8334825193703,66275,OK2618
4017,8334824112359,66273,OK2617
4072,8328867053799,63847,OK3235
4143,8302483996903,62496,OK3072
4144,8301161251047,62360,OK3232
4150,8301085917415,62315,OK3338
4153,8299588255975,62020,OK3431
4284,8267074339047,59313,OK3284
4322,8263154204903,58788,OK3188
4323,8263152533735,58785,OK3187
4325,8263146307815,58776,OK3185
4349,8259804659943,58346,OK3148
4405,8252418719975,57643,OK3048
4415,8251435843815,57562,OK3039
4430,8249382043879,57305,OK3054
4439,8246586900711,57138,OK2371
4502,8226527936743,54160,OK2590
4504,8226500804839,54150,OK2593
4505,8226495365351,54148,OK2594
4549,8201181724903,52462,OK2308
4571,8192669450471,51709,OK2565
4628,8089469976807,46157,OK0523
4630,8089467617511,46155,OK0858
4633,8089465127143,46152,OK1464
4634,8089463095527,46151,OK0705
4635,8089453363431,46150,OK0524
4636,8089457819879,46149,OK1277
4637,8089453166823,46148,OK0514
4647,8089407586535,46138,OK0239
4657,8089385697511,23870,OK0717
4705,8074244194535,45185,OK2206
4758,8044216320231,43764,OK2178
4782,8039475773671,43366,OK2157
4783,8027366392039,43064,OK2144
4788,8027130888423,43022,OK2146
4832,8004425679079,42058,OK2122
4840,8004357652711,42037,OK2130
4841,7992444649703,40717,OK2111
4842,7992437342439,40713,OK2110
4907,7951850930407,39532,OK2051
4972,7904991477991,38414,OK1988
5050,7871503466727,37493,OK1934
5054,7868751085799,37424,OK1922
5070,7856235118823,36936,OK1906
5074,7855903015143,36914,OK1874
5093,7849771040999,36804,OK1884
5126,7831878697191,36423,OK1852
5147,7820840501479,36171,OK1824
5167,7806307401959,35912,OK1793
5168,7806273847527,35910,OK1792
5169,7806262542567,35909,OK1791
5171,7806134583527,35897,OK1789
5188,7787665817831,34975,OK1773
5260,7722332520679,25792,OK0874
5293,7706449608935,32296,OK1665
5347,7692843057383,32039,OK1613
5349,7692808945895,32035,OK1611
5475,7508992688359,29407,OK1475
5476,7508986233063,29401,OK1474
5477,7508973650151,29400,OK1473
5478,7508962869479,29396,OK1488
5486,7507668041959,29353,OK1472
5487,7507658604775,29346,OK1470
5488,7507638485223,29349,OK1471
5489,7507603816679,29344,OK1469
5490,7507596738791,29343,OK1468
5491,7507586416871,29340,OK1467
5492,7507573866727,29337,OK1466
5557,7490047672551,28646,OK1401
5666,7477970960615,27977,OK1283
5669,7477934686439,27949,OK1280
5671,7477926297831,27943,OK1278
5692,7476253786343,27712,OK1246
5708,7474877497575,27615,OK1240
5759,7467660312807,27314,OK1202
5774,7465467674855,27229,OK1187
5779,7465389850855,27210,OK1182
5780,7465384476903,27207,OK1181
5792,7462669811943,27048,OK1165
5863,7453590520039,26620,OK1103
5945,7438593097959,26201,OK1026
5993,7430278381799,25752,OK0870
6007,6961415520440,25587,OK0855
6016,6960418717880,25530,OK0850
6068,6952278720696,25156,OK0817
6069,6952264368312,25148,OK0816
6072,6952188641464,25119,OK0813
6075,6952146600120,25105,OK0810
6077,6951987380408,25074,OK0808
6079,6951962149048,25064,OK0806
6163,6918547669176,23819,OK0721
6196,6908593176760,23310,OK0683
6215,6901473378488,23173,OK0666
6219,6901472002232,23183,OK0668
6232,6897071358136,22962,OK0652
6329,6872739872952,22169,OK0536
6356,6864522936504,21871,OK0516
6362,6864484827320,21899,OK0529
6363,6864483188920,21898,OK0528
6397,6858631774392,21625,OK0501
6398,6858627285176,21623,OK0500
6401,6858588061880,21612,OK0497
6409,6851609919672,21516,OK0491
6421,6848321192120,21407,OK0452
6441,6846676402360,21321,OK0447
6446,6846377525432,21241,OK0431
6446,6846377525432,21241,OK0431
6452,6842524795064,21242,OK0430
6566,6805937029304,20212,OK0315
6568,6805934375096,20216,OK0313
6583,6798479884472,20149,OK0299
6584,6798437974200,20146,OK0298
6654,6791536902328,19742,OK0244
6657,6789912854712,19705,OK0241
6722,6779485323448,19291,OK0164
