"product_id","sku","rel_id"
"310259","ON7959","9667322446146"
"310365","ON8120","9667326640450"
"310773","ON5084","9667341123906"
"310726","ON7504","9667353116994"
"310986","ON7239","9667363930434"
"311041","ON7171","9667365732674"
"311383","ON6679","9667366125890"
"311408","ON5466","9667370975554"
"311535","ON6226","9667374055746"
"311982","ON5966","9667383263554"
"311570","ON6520","9667385524546"
"311878","ON6029","9667385852226"
"311856","ON6116","9667392799042"
"311730","ON6288","9667394306370"
"311686","ON6357","9667394339138"
"311960","ON6062","9667395387714"
"311965","ON5956","9667395518786"
"312058","ON5856","9667401056578"
"312044","ON5869","9667404038466"
"312470","ON5301","9667405087042"
"312239","ON5595","9667408593218"
"312611","ON5133","9667409346882"
"312196","ON5657","9667413082434"
"312530","ON5231","9667420225858"
"312806","ON4881","9667420455234"
"312808","ON4879","9667422028098"
"312717","ON5016","9667422060866"
"312748","ON4989","9667422224706"
"312569","ON5158","9667423994178"
"312787","ON4930","9667425927490"
"312777","ON4944","9667426517314"
"312847","ON4864","9667430744386"
"312791","ON4929","9667430842690"
"312950","ON4359","9667433365826"
"313212","ON4384","9667442868546"
"313344","ON4182","9667444801858"
"313201","ON4583","9667445424450"
"313335","ON4154","9667451715906"
"313462","ON4137","9667455320386"
"313962","ON00004","9667458400578"
"313749","ON3588","9667459187010"
"313655","ON3503","9667463479618"
"313485","ON4078","9667474751810"
"313993","ON2784","9667476160834"
"314342","ON1643","9667487138114"
"314124","ON2381","9667492512066"
"314529","ON0899","9667497492802"
"314073","ON2514","9667498049858"
"314110","ON2477","9667510600002"
"314697","ON0003","9667512205634"
"314113","ON2405","9667524428098"
"314585","ON0674","9667544383810"
"314411","ON1516","9667607691586"
"322162","ON8294","9695462261058"
"425858","ON9327","9819811217730"
"464583","ON2367","9857599308098"
